번호,종목코드,종목명,현재가,전일대비,공시일,지정일,해제일
13,001260,남광토건,"13,200",350,2018/03/20,2018/03/21,2018/04/04
12,069460,대호에이엘,"2,505",-25,2018/03/08,2018/03/09,2018/03/26
11,033180,필룩스,"4,005",75,2018/02/28,2018/03/02,2018/03/26
10,004770,써니전자,"4,710",80,2018/02/26,2018/02/27,2018/03/14
9,009140,경인전자,"23,800",100,2018/02/06,2018/02/07,2018/02/23
8,074610,나노메딕스,"3,490",30,2018/02/05,2018/02/06,2018/02/22
7,002210,동성제약,"12,300",350,2018/01/31,2018/02/01,2018/02/19
6,090080,평화산업,"1,125",-5,2018/01/30,2018/01/31,2018/02/14
5,010770,평화홀딩스,"3,460",-10,2018/01/29,2018/01/30,2018/02/13
4,009420,한올바이오파마,"37,350",100,2018/01/12,2018/01/15,2018/01/29
3,074610,이엔쓰리,"3,490",30,2018/01/10,2018/01/11,2018/01/19
2,007630,암니스,"1,225",00,2018/01/04,2018/01/05,2018/01/26
1,134790,팀스,"56,100",-600,2017/12/18,2017/12/19,2018/01/10
53,002410,범양건영,"4,800",10,2019/12/24,2019/12/26,2020/01/16
52,044380,주연테크,"1,065",0,2019/12/20,2019/12/23,2020/01/09
51,009810,엔케이물산,550,-10,2019/12/10,2019/12/11,2019/12/27
50,003580,넥스트사이언스,"5,320",10,2019/11/18,2019/11/19,2019/12/03
49,33637L,두산솔루스2우B,"32,000","-2,050",2019/11/15,2019/11/18,2019/12/02
48,001210,금호전기,"3,100",5,2019/11/07,2019/11/08,2019/11/22
47,101140,비티원,"5,960",-20,2019/11/04,2019/11/05,2019/11/19
46,068290,삼성출판사,"23,150",0,2019/10/25,2019/10/28,2019/11/11
45,336370,두산솔루스,"49,600","-5,100",2019/10/23,2019/10/24,2019/11/14
44,33626L,두산퓨얼셀2우B,"19,150",-100,2019/10/23,2019/10/24,2019/11/13
43,33637K,두산솔루스1우,"16,200",-850,2019/10/23,2019/10/24,2019/11/11
42,33637L,두산솔루스2우B,"32,000","-2,050",2019/10/23,2019/10/24,2019/10/31
